store_id	id	price	quantity
IDEALTRIX	DBS040	55	9
IDEALTRIX	DBT003	25	8
IDEALTRIX	DBT012	28	10
IDEALTRIX	DBT040	22	6
IDEALTRIX	DBT054	75	4
IDEALTRIX	DCAP500	4,5	24
IDEALTRIX	DCL02	13	11
IDEALTRIX	DNL500	4,5	24
IDEALTRIX	DRESS500	35	6
IDEALTRIX	DSB5	35	4
IDEALTRIX	DSL5	29,9	3
IDEALTRIX	DSZL1	26,5	21
IDEALTRIX	DSZL5	89,9	21
IDEALTRIX	ELCR	38	6
IDEALTRIX	ELPAEV	45	4
IDEALTRIX	ELPAIA	25	11
IDEALTRIX	ELPV	25	8
IDEALTRIX	EMFRV	45	4
IDEALTRIX	EMJP	14,9	5
IDEALTRIX	EMLV	22	9
IDEALTRIX	EMRLR	28	4
IDEALTRIX	EPFRMV	25	8
IDEALTRIX	EPFRP	23	3
IDEALTRIX	ERAV8	55	3
IDEALTRIX	ERPC	38	11
IDEALTRIX	ERRAC	49,9	3
IDEALTRIX	ETPE	28	5
IDEALTRIX	FUVQ5	75	19
IDEALTRIX	FVAC	5,99	113
IDEALTRIX	GCCA	42	31
IDEALTRIX	GCSN1	42	12
IDEALTRIX	GCSN3	115	4
IDEALTRIX	GLP	45	3
IDEALTRIX	GRIN	27	10
IDEALTRIX	I6CF	45	3
IDEALTRIX	ICC	40	31
IDEALTRIX	INSIGLT30	70	6
IDEALTRIX	IPN	25	4
IDEALTRIX	IRONTECH500	38	10
IDEALTRIX	KARPF	35	6
IDEALTRIX	KDPM	35	17
IDEALTRIX	KPCSV	25	16
IDEALTRIX	KPL0001	25	11
IDEALTRIX	KRP0001	35	3
IDEALTRIX	L1200A	12	11
IDEALTRIX	L2000AM	5	8
IDEALTRIX	L400A	2,5	17
IDEALTRIX	LCD	15	6
IDEALTRIX	LGCLS	75	3
IDEALTRIX	LMMP	25	4
IDEALTRIX	LMSC	35	18
IDEALTRIX	LSCG	35	6
IDEALTRIX	LV50002	29,9	6
IDEALTRIX	LVL16	35	12
IDEALTRIX	lx2500	5,9	6
IDEALTRIX	MBPP	89,9	4
IDEALTRIX	MGC	150	6
IDEALTRIX	MMC5	80	25
IDEALTRIX	MPCR	39	4
IDEALTRIX	MPLTM	55	5
IDEALTRIX	MPRZ36	135	4
IDEALTRIX	NCTMP	55	6
IDEALTRIX	NEOBLACK500	45	7
IDEALTRIX	OXY21500	45	5
IDEALTRIX	P3X1S	89,9	19
IDEALTRIX	P5R0001	35	7
IDEALTRIX	PAF58	20	4
IDEALTRIX	PCSTD	45	79
IDEALTRIX	PD01R	12	8
IDEALTRIX	PD1R	7	7
IDEALTRIX	PDP4	39,9	42
IDEALTRIX	PELO-REVENDA	38	5
IDEALTRIX	PHD1	28	53
IDEALTRIX	PHGD3	50	262
IDEALTRIX	PLA0001	20	16
IDEALTRIX	PLASTIC - REVENDA	52	5
IDEALTRIX	PLP5	220	5
IDEALTRIX	PMB46	15	11
IDEALTRIX	PN30001	35	12
IDEALTRIX	PNC36	75	7
IDEALTRIX	PNMP	12,5	6
IDEALTRIX	PPM5	50	3
IDEALTRIX	PPNC	65	4
IDEALTRIX	PPP5	75	21
IDEALTRIX	PPV0002	79,9	40
IDEALTRIX	PRM0001	85	3
IDEALTRIX	PRPDV	22	3
IDEALTRIX	PUG	12	14
IDEALTRIX	PVB0001	35	19
IDEALTRIX	RCRT	29,9	5
IDEALTRIX	REFGEW	55	28
IDEALTRIX	RLS	45	4
IDEALTRIX	RPB	75	3
IDEALTRIX	RPE	39,9	3
IDEALTRIX	RR6X1	40	7
IDEALTRIX	RRCP	80	4
IDEALTRIX	SAM0001	25	3
IDEALTRIX	SC400	89,9	6
IDEALTRIX	SCV	15	10
IDEALTRIX	SF500	35	8
IDEALTRIX	SF5L	170	3
IDEALTRIX	SGB0001	45	5
IDEALTRIX	SGELM	12	16
IDEALTRIX	SL5G	28	19
IDEALTRIX	SLL0001	280	5
IDEALTRIX	SNCN	29,9	16
IDEALTRIX	SOUL500	40	7
IDEALTRIX	SPIKE500	55	11
IDEALTRIX	SPPNC	120	22
IDEALTRIX	SSP0001	65	8
IDEALTRIX	SWSV	110	11
IDEALTRIX	TIB	28	18
IDEALTRIX	TM02	27	6
IDEALTRIX	V30	49	13
IDEALTRIX	VELSP	22	7
IDEALTRIX	VNO	17,32	7
IDEALTRIX	VP20001	79,9	3
IDEALTRIX	VP20002	58	3
IDEALTRIX	VPV50	180	8
IDEALTRIX	WASH500-REVENDA	25	5
IDEALTRIX	WPCHAP	39,9	5
IDEALTRIX	ZBAC1500	40	5
