ATUALIZAR 																																										
ID	C?digo (SKU)	Descri??o	Unidade	Classifica??o fiscal	Origem	Pre?o	Valor IPI fixo	Observa??es	Situa??o	Estoque	Pre?o de custo	C?d do Fornecedor	Fornecedor	Localiza??o	Estoque m?ximo	Estoque m?nimo	Peso l?quido (Kg)	Peso bruto (Kg)	GTIN/EAN	GTIN/EAN tribut?vel	Descri??o complementar	CEST	C?digo de Enquadramento IPI	Formato embalagem	Largura embalagem	Altura embalagem	Comprimento embalagem	Di?metro embalagem	Tipo do produto	URL imagem 1	URL imagem 2	URL imagem 3	URL imagem 4	URL imagem 5	URL imagem 6	Categoria	C?digo do pai	Varia??es	Marca	Garantia	Sob encomenda	Pre?o promocional
592034681	11600	ADAPTADOR AHEAD SET 21,1MM A?O PRETO | 011600	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	15	0	ISAPA 10/19;JR 10/19;JR 05/21;	Ativo	0	8.99				0	2	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/9296abc5ac828e9abd5ad0178e702c3c.jpeg						Pe?as e Componentes > Mesas			CHINA		N?o	0
592035211	56701	ADAPTADOR AHEAD SET 22,2MM ALUMINIO | 056701	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	23	0	W SUL 07/20;ALUM?NIO	Ativo	2	14.39				0	0	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/c189397077d276f1242f2b2822065030.jpeg						Pe?as e Componentes > Mesas			CHINA		N?o	0
592035609	52758	ADAPTADOR AHEAD SET 25,4MM ALUMINIO PRETO | 052758	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	30	0	W SUL 09/19;W SUL 02/20;W SUL 12/20;isapa 10/21;	Ativo	0	18.46				0	1	0	0			<p>ADAPTADOR PARA SUPORTE DE.GUIDAO AHEAD, ALUM?NIO NATURAL, COM EXPANDER 25,4MM - WG SPOSTS</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/21f6c3c06baf01789d33fa401a087cad.jpg						Pe?as e Componentes > Mesas			WG SPORTS		N?o	0
592034050	3423	ADAPTADOR CENTER LOCK P/ 06 PARAFUSOS | 003423	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	54	0	;	Ativo	0	30				0	0	0.04	0.06			<p>- MARCA: BENGAL</p> <p>- MODELO: BR300</p> <p>- COMPATIVEL COM DISCOS DE 203MM</p> <p>- PARA FREIO A DISCO DIANTEIRO E TRASEIRO</p> <p>- PERMITE UTILIZAR DISCO 6 PARAFUSOS EM CUBO CENTER LOCK</p> <p>- COR: PRATA</p> <p>- MATERIAL: ALUMINIO</p> <p>- PESO: 40G</p>			Pacote / Caixa	11	6	16	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/1f562b295ea739a2a471b18a8694656e.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/92d982f00b30ea4c18cd7b7a5b32dc3d.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/626c36f0400fb3e36e48729c6205487c.jpg				Pe?as e Componentes > Freios > Outros			BENGAL		N?o	0
592032391	4241	ADAPTADOR DE CADEIRINHA | 004241	Un	8714.99.90	0 - Nacional, exceto as indicadas nos c?digos 3 a 5	6	0	SOUTH 02/21;	Ativo	7	3.05				0	5	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/8e7dc356562cdbdb573315429b38a082.jpeg						Acess?rios/Bikes > Cadeirinhas			POJDA		N?o	0
592033098	767	ADAPTADOR DE FREIO 203MM ASHIMA | 000767	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	25	0	;ALUMINIO	Ativo	3	15				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/f5e54972ee6fc3175ab56734a51797ab.jpeg						Pe?as e Componentes > Freios > Outros			S SHINE		N?o	0
613477488	203	ADAPTADOR DE FREIO 203MM WINZIP MT-203 | 00203	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	35	0		Ativo	2	0				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/eea5e7e4a2cf531761c891df84d9f25c.jpg						Pe?as e Componentes > Freios > Outros			WINZIP		N?o	0
592034905	43173	ADAPTADOR DE FREIO A DISCO A?O 22MM TRASEIRO PRETO | 043173	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	16	0	ISAPA 09/21;ADAPTADOR	Ativo	3	9.72				0	0	0	0	6970284418102		<p>GANCHEIRA ADAPTADORA DE FREIO A DISCO 160MM A?O PRETO COM ABRACADEIRA 22MM - TANGSHAN</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/a8b8fb9ca7a8ebd6797c5d9368f35e4f.jpg						Pe?as e Componentes > Freios > Outros			TANGSHAN		N?o	0
592036026	43174	ADAPTADOR DE FREIO A DISCO A?O 28,6MM DIANTEIRO PRETO | 043174	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	16	0	ISAPA 10/19;isapa 08/20;ISAPA 09/21;	Ativo	2	9.53				0	2	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/036a3e07022dcf6e559ac7e59c6a5734.jpeg						Pe?as e Componentes > Freios > Outros			CHINA		N?o	0
592033425	947	ADAPTADOR DE FREIO V-BRAKE ZINCADO DIANTEIRO | 000947	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	24	0	W SUL 08/19;W SUL 01/20;w sul 12/21;w sul 11/20;	Ativo	1	14.53				0	2	0	0	7896482603586					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/b5fd78fa4f2a9e4fd1ca75438f4e5641.jpeg						Pe?as e Componentes > Freios > Outros			CHINA		N?o	0
