row_number,store_code,id,price,availability
396,1,9610,20,out_of_stock
397,1,51944,45,in_stock
398,1,59652,50,in_stock
399,1,9333,25,out_of_stock
400,1,53211,5,in_stock
401,1,8104,5,in_stock
402,1,4959,85,in_stock
403,1,10003,70,in_stock
404,1,1154,40,in_stock
405,1,9443,65,out_of_stock
406,1,4667,15,in_stock
407,1,5521,25,in_stock
408,1,4434,15,in_stock
409,1,8932,220,in_stock
410,1,44154,65,in_stock
411,1,2410,40,in_stock
412,1,6256,100,in_stock
413,1,1321,65,in_stock
414,1,6047,10,in_stock
415,1,3997,30,in_stock
416,1,50168,160,in_stock
417,1,3999,40,in_stock
418,1,835,5,in_stock
419,1,186,35,in_stock
420,1,764,5,in_stock
421,1,757,5,in_stock
422,1,624,5,in_stock
423,1,8184,5,in_stock
424,1,4,70,out_of_stock
425,1,778,5,in_stock
426,1,813,10,out_of_stock
427,1,39872,30,in_stock
428,1,42997,15,in_stock
429,1,9103,190,in_stock
430,1,564,60,out_of_stock
431,1,4087,40,out_of_stock
432,1,9728,10,out_of_stock
433,1,44363,20,in_stock
434,1,44366,25,in_stock
435,1,44958,25,in_stock
436,1,382,15,in_stock
437,1,56678,125,in_stock
438,1,50886,105,in_stock
439,1,7279,35,out_of_stock
440,1,292,25,in_stock
441,1,1161,170,in_stock
442,1,7588,100,in_stock
443,1,140,35,in_stock
444,1,1129,20,in_stock
445,1,9104,15,out_of_stock
446,1,580,20,in_stock
447,1,51078,85,in_stock
448,1,9861,20,in_stock
449,1,131,20,in_stock
450,1,172,15,in_stock
451,1,939,30,in_stock
452,1,108,60,out_of_stock
453,1,8244,20,out_of_stock
454,1,9610,20,out_of_stock
455,1,51944,45,in_stock
456,1,59652,50,in_stock
457,1,9333,25,out_of_stock
458,1,53211,5,in_stock
459,1,8104,5,in_stock
460,1,4959,85,in_stock
461,1,10003,70,in_stock
462,1,1154,40,in_stock
463,1,9443,65,out_of_stock
464,1,43173,25,out_of_stock
465,1,54991,15,in_stock
466,1,11985,10,in_stock
467,1,4667,15,in_stock
468,1,5521,25,in_stock
469,1,4434,15,in_stock
470,1,8932,220,in_stock
471,1,44154,65,in_stock
472,1,2410,40,in_stock
473,1,6256,100,in_stock
474,1,1321,65,in_stock
475,1,6047,10,in_stock
476,1,3997,30,in_stock
477,1,50168,160,in_stock
478,1,3999,40,in_stock
479,1,835,5,in_stock
480,1,186,35,in_stock
481,1,764,5,in_stock
482,1,757,5,in_stock
483,1,624,5,in_stock
484,1,8184,5,in_stock
485,1,4,70,out_of_stock
486,1,778,5,in_stock
487,1,813,10,out_of_stock
488,1,39872,30,in_stock
489,1,42997,15,in_stock
490,1,9103,190,in_stock
491,1,564,60,out_of_stock
492,1,4087,40,out_of_stock
493,1,9728,10,out_of_stock
